Begin Time (s),Begin Time (s),Begin Time (s),Begin Time (s)
12.68,0.13,0.86,0.49
13.46,0.64,0.99,0.60
14.26,1.36,1.23,0.87
14.87,1.79,1.62,1.60
15.07,1.93,3.11,2.03
38.82,2.11,3.26,3.04
46.96,2.30,3.62,3.34
76.16,2.53,4.15,3.74
83.72,2.81,4.44,3.91
105.29,3.21,4.92,4.37
123.93,17.26,5.49,4.51
124.19,17.32,6.74,4.86
145.93,18.03,6.91,5.61
248.60,18.32,8.63,6.36
268.42,18.89,8.84,7.35
285.46,19.21,10.75,7.64
388.36,19.44,11.13,7.90
500.59,19.91,12.40,8.13
510.55,20.23,12.53,8.37
534.62,20.37,12.73,8.88
582.15,20.83,13.08,9.12
585.55,20.96,13.70,9.43
586.28,21.18,14.59,9.60
587.03,21.44,15.08,9.72
,21.79,15.37,9.96
,23.40,16.06,10.29
,24.05,16.39,10.64
,24.24,16.65,10.72
,25.30,17.19,11.13
,26.07,17.55,11.28
,26.28,18.22,11.60
,26.45,18.53,11.76
,27.14,19.60,12.00
,27.36,19.76,12.26
,27.50,19.99,12.76
,28.25,20.11,12.90
,29.00,20.26,13.19
,29.86,20.70,13.48
,30.89,20.87,14.00
,31.41,21.65,14.52
,31.64,21.76,14.90
,32.51,22.33,15.05
,32.66,22.73,15.35
,32.94,23.06,15.49
,33.17,23.46,15.73
,33.41,23.81,16.31
,33.85,23.98,16.65
,34.74,24.16,17.24
,35.18,24.37,17.93
,35.71,24.49,18.34
,35.84,24.64,18.54
,36.27,24.96,19.14
,36.79,25.20,19.26
,36.98,25.56,19.40
,37.29,25.95,19.66
,37.58,28.66,19.83
,37.91,29.28,20.09
,38.01,29.44,20.23
,38.58,29.69,20.61
,38.99,29.91,20.86
,39.33,30.25,21.40
,39.75,31.10,21.69
,40.10,31.41,22.12
,40.31,31.87,23.00
,40.80,32.64,23.36
,41.04,32.81,23.67
,41.31,33.77,24.02
,41.68,34.09,24.22
,41.83,34.90,24.45
,42.04,35.14,24.69
,42.23,35.41,25.52
,42.40,35.59,27.12
,42.78,35.96,27.59
,43.23,36.29,27.87
,43.42,36.48,28.05
,43.63,36.89,28.87
,43.87,37.50,29.13
,44.15,37.81,29.59
,44.59,38.06,30.28
,44.83,38.33,30.60
,45.04,38.55,31.04
,45.35,38.85,31.67
,45.56,39.61,31.80
,46.65,39.80,32.36
,47.14,40.16,32.69
,47.29,40.76,33.24
,47.67,41.17,33.64
,47.79,42.37,33.92
,48.25,42.60,34.31
,48.48,42.93,35.65
,48.66,43.29,36.68
,49.48,43.70,37.10
,49.64,44.07,37.25
,50.07,45.95,37.59
,50.76,46.52,38.01
,50.98,47.18,38.15
,51.24,47.63,38.80
,51.71,47.83,39.64
,52.30,48.15,39.94
,52.67,48.45,40.14
,53.06,48.48,40.88
,53.36,49.06,40.95
,53.58,49.65,41.18
,54.05,50.25,41.70
,54.62,50.70,41.77
,55.23,51.60,42.61
,55.47,52.75,42.89
,55.63,53.56,43.05
,55.94,53.82,43.24
,56.26,54.52,43.44
,56.51,54.71,43.86
,57.17,55.31,44.38
,57.58,55.50,44.60
,57.80,55.91,44.73
,58.23,56.12,44.97
,59.63,56.56,45.74
,60.17,57.29,46.01
,60.65,57.39,46.27
,62.17,57.50,46.61
,63.22,57.99,47.02
,63.34,58.33,47.29
,63.55,58.64,47.58
,63.76,59.04,48.17
,63.92,59.34,48.53
,64.51,59.47,48.91
,64.63,59.95,49.28
,64.88,60.44,49.66
,65.04,60.93,50.02
,65.08,61.41,50.50
,65.79,61.76,51.08
,65.91,62.59,52.36
,66.57,62.83,52.54
,67.11,63.22,52.79
,67.47,63.61,53.14
,69.00,64.02,53.30
,69.12,65.03,53.46
,69.72,65.22,53.75
,70.57,65.49,54.05
,70.74,65.97,55.02
,70.86,66.32,55.51
,71.11,66.52,55.88
,72.37,67.19,56.19
,73.78,67.61,57.68
,74.56,67.78,58.67
,75.73,67.99,59.68
,76.61,68.93,59.75
,76.82,69.53,60.35
,76.94,69.61,60.88
,77.33,70.05,61.73
,78.35,70.14,61.95
,78.75,70.44,62.10
,78.89,70.61,62.63
,79.03,71.53,62.72
,79.19,72.27,62.87
