price	square_meters	year_built	floor	bedrooms	bathrooms	first_floor	balcony_terrace	parking	oslo	city
3700000	26	1890	2	1	1	0	1	0	1	oslo
4790000	43	2015	4	1	1	0	1	0	1	oslo
5690000	66	2009	2	2	1	0	1	1	1	oslo
3740000	87	1985	7	3	2	0	0	0	1	oslo
4800000	44	2007	6	1	1	0	1	0	1	oslo
4200000	42	1955	3	1	1	0	1	0	1	oslo
4500000	55	1940	1	1	1	1	1	0	1	oslo
6990000	70	1933	1	2	1	1	1	0	1	oslo
3250000	37	1940	1	1	1	1	1	0	1	oslo
5390000	50	2007	2	1	1	0	1	1	1	oslo
3300000	47	2013	2	1	1	0	1	1	0	trondheim
1580000	30	1969	2	1	1	0	1	0	0	trondheim
2050000	52	1979	3	1	1	0	1	1	0	trondheim
3590000	51	1939	2	2	1	0	1	1	0	trondheim
2890000	47	1937	2	2	1	0	1	1	0	trondheim
3590000	99	1976	2	4	2	0	1	1	0	trondheim
3590000	69	2010	1	2	1	1	1	1	0	trondheim
5290000	117	1906	3	4	2	0	1	0	0	trondheim
2290000	31	1966	2	1	1	0	0	1	0	trondheim
3390000	71	2001	2	2	1	0	1	0	0	trondheim
	61	1958	1	3	1	1	0	0	1	oslo
